x,y,z
-628,-359,17100
-627,-359,17060
-613,-361,16986
-615,-395,16990
-614,-395,17028
-588,-404,16998
-569,-415,17088
-573,-418,17089
-589,-419,17059
-595,-422,17044
-601,-416,17083
-611,-393,17052
-605,-357,16998
-600,-381,17017
-634,-402,17051
-624,-396,17044
-595,-405,16985
-596,-418,17014
-622,-441,17024
-616,-440,17046
-580,-434,17072
-584,-437,17069
-607,-387,17018
-606,-399,17030
-624,-410,16997
-622,-391,16975
-593,-380,16986
-601,-372,17018
-626,-382,17029
-619,-376,17012
-601,-400,17045
-634,-434,17064
-584,-413,17066
-592,-410,17030
-602,-399,17044
-594,-398,17071
-628,-439,17004
-631,-405,17012
-603,-397,17019
-596,-424,17028
-636,-382,17056
-622,-408,17030
-591,-425,17004
-613,-402,17020
-590,-412,17020
-573,-423,16977
-597,-391,17057
-610,-386,17046
-601,-395,17038
-620,-419,17041
-636,-402,17050
-639,-394,17000
-612,-373,17041
-610,-392,17060
-616,-423,17001
-616,-380,17047
-614,-394,17021
-619,-399,16989
-621,-388,17047
-583,-378,17023
-582,-374,17000
-592,-404,17035
-622,-398,17070
-619,-406,17034
-635,-397,17049
-614,-402,17089
-588,-401,17050
-607,-395,17049
-605,-403,17060
-580,-393,16994
-590,-395,17056
-608,-402,17032
-628,-410,17033
-554,-377,17017
-580,-406,17102
-602,-410,17056
-622,-407,17000
-623,-388,17021
-617,-386,17078
-596,-396,17029
-564,-412,17038
-592,-415,17018
-599,-428,17086
-588,-391,17088
-629,-382,17060
-599,-410,17056
-580,-360,17034
-601,-379,17022
-596,-393,17018
-603,-378,17045
-615,-401,17049
-608,-408,17025
-603,-409,17033
-591,-387,17052
-583,-400,17048
-625,-380,17021
-597,-404,17023
-591,-390,17033
-581,-418,17050
-622,-414,17029
-636,-423,17046
-605,-403,17051
-590,-415,17020
-601,-420,17035
-601,-401,17017
-622,-421,17029
-627,-400,17041
-596,-390,17022
-628,-399,17047
-624,-411,17010
-619,-363,17018
-600,-396,17026
-567,-413,17017
-640,-405,17013
-612,-396,17033
-577,-405,17059
-589,-395,17048
-564,-384,17022
-614,-390,17029
-621,-403,17039
-609,-387,17029
-638,-410,17017
-575,-394,17043
-572,-384,17029
-605,-408,17059
-618,-426,17051
-603,-402,17040
-597,-398,17019
-583,-416,17040
-611,-389,17036
-563,-397,17007
-596,-432,17019
-600,-391,17078
-590,-392,17089
-614,-416,17037
-622,-402,17033
-610,-382,16995
-611,-381,17009
-598,-390,17031
-610,-426,17030
-594,-398,17000
-604,-419,17045
-597,-402,17020
-596,-419,17004
-609,-413,17034
-622,-414,16997
-594,-407,17046
-619,-375,16999
-597,-379,16977
-592,-391,17066
-612,-416,17057
-604,-398,17035
-626,-377,17090
-592,-396,17058
-587,-412,17006
-609,-408,17047
-614,-435,17048
-628,-397,17069
-621,-380,17050
-602,-383,17051
-562,-393,17015
-602,-395,17068
-617,-420,17035
-573,-409,17057
-589,-382,17008
-600,-437,16985
-602,-419,17082
-612,-413,17091
-604,-408,17040
-603,-394,16992
-600,-444,17040
-607,-410,17020
-634,-383,17019
-618,-408,17040
-599,-402,16990
-592,-379,17021
-589,-370,17059
-614,-420,17038
-627,-437,17014
-574,-419,17041
-598,-397,17035
-623,-422,17035
-619,-397,17064
-617,-381,17051
-617,-393,17047
-583,-422,17055
-614,-412,16988
-632,-395,16996
-598,-363,17062
-596,-392,16975
-614,-407,17015
-589,-401,17048
-554,-429,16984
-577,-411,17047
-628,-436,17075
-597,-423,17012
-592,-408,17067
-614,-412,17041
-625,-416,17038
-575,-396,17080
-609,-391,16993
-621,-418,17007
-618,-449,17027
-566,-426,17050
-592,-406,17046
-584,-384,17069
-617,-438,17046
-637,-394,17052
-606,-414,17066
-604,-417,17082
-596,-396,17014
-607,-388,17036
-558,-406,17055
-597,-407,17025
-605,-419,17087
-567,-398,17041
-588,-399,17056
-607,-391,17038
-623,-385,17048
-613,-404,17077
-604,-412,17014
-632,-420,16993
-575,-433,17037
-624,-393,17031
-622,-386,17027
-555,-414,17065
-618,-394,17071
-618,-425,17028
-598,-450,17037
-552,-401,17033
-623,-409,17021
-614,-396,17020
-602,-404,17042
-619,-390,17031
-591,-409,17007
-596,-379,17103
-584,-362,17034
-628,-410,17014
-574,-436,17040
-605,-451,17012
-608,-395,17028
-606,-409,17069
-597,-374,17021
-616,-376,16997
-609,-395,17050
-621,-398,17071
-644,-412,17076
-604,-411,17022
-591,-384,17021
-591,-372,17034
-580,-416,17084
-587,-399,17026
-619,-384,17026
-577,-394,17037
-582,-427,17059
-578,-417,17050
-615,-411,17006
-620,-403,17016
-612,-420,17064
-587,-412,17017
-605,-415,17020
-587,-417,16994
-606,-418,17037
-586,-382,17042
-599,-387,17077
-611,-433,17047
-601,-383,17037
-598,-388,17084
-584,-389,17056
-594,-391,17018
-603,-418,17014
-609,-400,17026
-622,-430,17024
-610,-412,17014
-574,-412,17056
-597,-425,17042
-585,-406,17011
-600,-410,17041
-600,-390,17072
-615,-385,17004
-609,-413,17010
-594,-373,17030
-617,-391,17095
-620,-402,17062
-613,-386,17009
-627,-399,17015
-609,-397,17043
-590,-360,17048
-613,-408,17055
-617,-410,17023
-601,-426,17023
-600,-431,17036
-601,-396,17041
-602,-400,16996
-593,-436,17050
-600,-430,17085
-587,-396,17063
-633,-406,17028
-594,-431,17027
-582,-419,17055
-639,-410,17037
-621,-394,17046
-602,-414,17023
-598,-414,16977
-609,-383,17066
-615,-415,17042
-608,-434,17004
-646,-459,17046
-632,-390,17068
-632,-404,17037
-657,-423,17082
-601,-404,17040
-621,-391,17021
-621,-349,17061
-605,-383,17027
-615,-397,17049
-599,-399,17055
-589,-380,17056
-604,-401,17036
-595,-405,17035
-585,-421,17009
-587,-430,17031
-618,-410,17068
-600,-417,17057
-591,-396,17020
-595,-394,17026
-629,-397,17022
-627,-391,17037
-625,-379,17018
-595,-392,17008
-597,-437,17012
-572,-403,17054
-594,-424,17070
-631,-399,17030
-604,-417,17086
-599,-398,17053
-596,-410,16997
-599,-437,17042
-618,-409,17048
-617,-412,17011
-625,-399,17049
-648,-362,17018
-576,-409,17061
-619,-399,17086
-599,-391,17029
-593,-410,17027
-613,-398,17075
-633,-387,17021
-591,-393,17000
-581,-396,17017
-610,-400,17035
-615,-380,17049
-641,-431,17050
-628,-434,17017
-569,-384,17037
-582,-396,17034
-625,-418,17061
-596,-406,17055
-598,-410,17033
-610,-366,17069
-603,-401,17050
-594,-401,17001
-605,-412,17017
-591,-430,17048
-592,-380,17024
-585,-426,17012
-600,-405,17020
-606,-410,17018
-606,-396,17021
-603,-385,17038
-607,-408,17036
-625,-411,17029
-629,-390,17065
-592,-396,17039
-577,-399,17021
-574,-403,17058
-604,-377,17057
-593,-404,17021
-609,-411,17031
-591,-393,17048
-623,-390,17018
-633,-382,17013
-592,-431,17050
-608,-395,17032
-582,-421,17029
-610,-396,17038
-592,-381,17007
-603,-416,17074
-585,-398,16984
-592,-348,17030
-600,-382,17086
-632,-422,17046
-628,-431,17048
-594,-430,17048
-590,-389,17038
-594,-350,17070
-582,-416,17005
-585,-415,17031
-613,-416,17032
-633,-401,17030
-630,-397,17037
-584,-419,17080
-580,-399,17054
-580,-403,17038
-586,-371,17040
-605,-416,17031
-614,-396,17044
-612,-378,17039
-606,-379,16994
-602,-392,17036
-583,-409,17035
-565,-406,17015
-635,-383,17038
-636,-383,17049
-594,-397,17010
-599,-401,17063
-606,-416,17039
-577,-391,17015
-561,-364,17055
-596,-359,17065
-623,-395,17025
-600,-436,17032
-613,-412,17063
-620,-421,17061
-587,-406,17035
-566,-402,17031
-567,-378,17075
-601,-398,17003
-617,-382,17012
-615,-411,17031
-624,-415,17030
-573,-371,17048
-572,-371,16999
-610,-413,17044
-637,-433,17058
-624,-440,17026
-591,-430,17027
-592,-391,17055
-624,-369,17054
-598,-399,17041
-621,-389,17012
-614,-393,17035
-572,-404,17070
-621,-401,17034
-582,-388,17020
-619,-407,17072
-625,-426,17015
-614,-393,17033
-597,-411,17093
-609,-384,17024
-624,-396,16997
-611,-391,17111
-629,-417,17041
-638,-403,17051
-576,-386,17058
-580,-408,16965
-602,-409,17018
-619,-374,17078
-605,-373,17113
-597,-420,17034
-615,-409,16976
-580,-372,16981
-574,-354,17058
-600,-393,17055
-580,-403,17028
-581,-422,17006
-604,-413,17033
-584,-415,17085
-618,-388,17033
-614,-411,17021
-595,-401,17033
-591,-396,17077
-622,-417,17045
-618,-391,17041
-586,-394,17015
-602,-385,17054
-610,-386,17055
-607,-384,17063
-598,-389,17061
-606,-404,17011
-597,-390,17041
-614,-359,17041
-595,-376,17003
-613,-381,16972
-640,-378,17017
-628,-405,17039
-619,-422,17040
-603,-419,17047
-584,-396,17029
-580,-414,17046
-606,-420,17037
-627,-385,17004
-595,-359,17039
-607,-403,17058
-632,-411,17036
-650,-417,17037
-627,-436,17014
-592,-419,17069
-609,-410,17070
-610,-391,17023
-586,-418,17014
-575,-410,17042
-624,-388,17031
-613,-385,17052
-597,-367,17033
-607,-377,17014
-604,-382,17027
-629,-380,17009
-625,-384,17001
-588,-386,17087
-574,-366,17001
-615,-390,17008
-625,-438,17055
-606,-436,17056
-587,-409,17085
-584,-406,17043
-581,-375,17037
-566,-351,17059
-620,-368,17079
-603,-407,16999
-591,-416,17010
-607,-427,17073
-611,-373,17111
-602,-353,17046
-635,-381,17010
-625,-390,17067
-600,-428,17055
-607,-407,17012
-595,-400,17016
-611,-390,17046
-603,-409,17042
-586,-390,17090
-634,-365,17059
-638,-386,16986
-650,-394,17076
-619,-396,17021
-602,-371,17011
-583,-393,16987
-611,-421,17043
-613,-386,17080
-611,-415,17046
-590,-443,16956
-581,-400,17046
-596,-423,17114
-587,-421,17067
-626,-430,17052
-618,-356,17016
-610,-387,17042
-619,-364,17073
-603,-367,17045
-615,-410,17055
-607,-419,17033
-621,-407,17024
-590,-400,17046
-592,-348,17105
-604,-387,17016
-604,-390,17041
-609,-390,17014
-601,-398,17001
-637,-376,17090
-601,-375,17023
-594,-378,16969
-571,-408,17055
-593,-372,17035
-595,-408,17065
-570,-417,17023
-607,-398,17012
-604,-390,17075
-612,-407,17075
-619,-410,17076
-605,-398,16983
-599,-412,17045
-638,-392,17123
-589,-383,17032
-591,-373,16998
-566,-392,17015
-586,-386,16978
-610,-416,17015
-620,-395,17083
-620,-395,17009
-590,-379,17009
-593,-393,17023
-603,-397,17072
-617,-415,17031
-616,-415,16995
-604,-413,17016
-574,-382,17056
-613,-411,17048
-593,-376,17041
-602,-399,17002
-596,-387,17052
-578,-382,17055
-593,-413,17029
-616,-382,17046
-638,-397,17055
-606,-399,17041
-606,-398,17030
-603,-409,17043
-629,-404,17026
-551,-393,17028
-597,-404,17062
-610,-377,17038
-568,-413,17024
-562,-403,17037
-605,-392,17060
-587,-390,17000
-618,-401,17033
-599,-392,17037
