x,y,z
-3475,5560,4117
-705,6726,1158
-4238,7975,-2179
-5665,6847,-2351
-7922,5771,-1131
-8437,3254,-1718
-5527,1457,-5071
-6174,3329,-5144
-8882,-604,2352
-7697,-11168,13553
-2091,-19565,17861
12687,-17845,10031
22269,-13496,66
27177,-11557,-6998
28235,-12752,-6991
28115,-15285,-4094
31894,-17750,-4212
32767,-18027,-3301
32734,-18200,-1210
32739,-18138,-925
32767,-18959,-2394
32767,-20349,-4058
32527,-20781,-5191
28228,-21354,-5648
22430,-20856,-5767
19162,-19385,-5023
17959,-18444,-2979
19533,-17354,87
22268,-15664,2225
24979,-13661,3077
26268,-11947,4160
25142,-10975,5132
21993,-10402,6341
16268,-9702,6632
8779,-8608,4679
3169,-6734,1904
-1032,-3912,-808
-3780,-2292,-3112
-4830,433,-4754
-7532,2452,-5034
-8630,3561,-3899
-5183,4227,-941
-3090,3758,1920
-3888,3819,4818
-2995,3738,7240
-3651,2927,7960
-6729,2973,6497
-9668,1634,4523
-10662,665,2647
-10009,-809,958
-7436,-5307,-222
-4388,-8661,-128
-271,-11649,1059
6373,-14602,2785
15753,-16750,4250
27001,-18597,6143
32767,-20766,8789
32767,-21466,11243
32637,-20521,11215
32767,-19312,8500
32767,-18407,7176
32764,-20535,9124
32767,-22268,10531
32767,-21537,8620
32750,-20706,6578
31000,-19898,5686
27025,-18248,4956
24145,-16053,3852
22420,-13774,2986
20158,-12068,3341
16336,-10964,4179
12150,-10100,4249
9739,-8718,3386
7886,-6749,1666
5499,-5334,-97
3516,-3242,-2380
1226,-132,-4578
-1325,1817,-5082
-3066,2937,-4874
-2956,3766,-3794
-2514,3930,-1727
-3481,3539,616
-4484,4045,2137
-5667,4422,2740
-7279,3969,2446
-9138,2645,1191
-9280,1237,597
-5739,-935,1571
540,-3442,3912
6002,-5227,5600
9339,-6616,5772
10980,-7588,5383
10552,-9251,4977
10600,-11995,3761
16140,-14575,2668
25174,-15886,3860
32373,-17443,5993
32767,-19532,7954
32678,-20281,8630
32745,-20176,8948
32767,-20852,10406
32766,-21365,10720
32766,-21638,8917
32767,-22059,6220
32762,-21225,5940
30757,-20271,6561
25653,-19138,7158
21445,-17330,7432
18040,-15438,6564
14492,-13785,4792
11518,-11309,2891
7916,-8757,1683
4427,-7223,-303
1994,-4674,-2970
-461,-1149,-5496
-2214,1251,-6750
-4317,2977,-6798
-9466,3643,-5703
-9632,4657,-3298
-6757,5487,-1974
-3624,7041,361
-3532,6438,3364
-6446,5513,3495
-8806,4862,1363
-8909,4072,-749
-6276,2571,-907
-2067,395,795
1930,-1784,2522
4880,-3740,3579
7256,-5672,4658
9187,-7639,5728
11726,-9190,6086
13955,-11530,5962
17847,-13213,5583
24546,-15074,5995
31444,-17332,6806
32767,-19005,8578
32723,-19717,9525
32725,-20376,8353
32767,-19835,6312
32767,-19723,5435
32766,-20176,4637
32767,-19376,3342
32767,-19348,2761
32079,-18629,3347
28390,-17202,4351
24540,-16011,4921
21693,-14753,4908
18100,-13349,4601
12730,-11966,2928
7701,-9992,-58
5157,-7251,-2592
3939,-4129,-5076
2296,-452,-6488
410,2006,-5875
-2545,2470,-3489
-7890,1996,-1068
-7398,3732,603
-4486,6200,216
-2378,8639,-167
-1446,8878,887
-1567,8113,2607
-3748,7515,3217
-6653,7457,2736
-9800,6897,1482
-12328,5776,-57
-12988,3521,-871
-10956,-215,-650
-4861,-4299,2081
3234,-7854,5930
9666,-10524,8437
15052,-13373,8281
22772,-15350,8405
30185,-16665,9106
32767,-16511,7615
32767,-15983,5829
32704,-16505,5640
32767,-16984,5152
32767,-16772,3824
32766,-16729,2465
32767,-16807,667
32767,-16658,-1345
32319,-15880,-1549
31319,-14748,48
29888,-13730,2169
27232,-13534,3755
23973,-13018,4290
19540,-11493,3568
15534,-9399,2113
12027,-7407,1959
9742,-6440,1746
7689,-4380,689
4703,-1987,28
1506,97,-235
-1403,1861,-318
-3692,3132,-536
-4925,4652,-1042
-7074,5529,-1522
-7328,6704,-1462
-5416,7533,-561
-4929,7811,4
-6587,7144,111
-7927,5498,694
-6686,3370,2187
-2395,1275,4736
2742,-914,5809
7211,-1778,4578
9199,-2430,2822
9111,-4023,1637
8287,-5835,654
9593,-8912,153
16183,-11820,1243
25797,-14125,3200
32767,-15862,5461
32767,-17279,8432
32655,-18053,9906
32758,-18482,8653
32767,-19159,7060
32765,-19403,6514
32767,-18593,4889
32767,-17968,1414
31833,-16418,-2167
27009,-14248,-3965
22831,-12737,-3624
21243,-11315,-1155
20950,-10337,1929
20162,-10075,4430
17603,-9646,5785
14254,-8350,5225
9823,-6338,3639
4588,-4393,1786
-110,-1665,126
-3526,1074,-661
-5813,3258,-1466
-8324,4956,-2679
-12557,6175,-3934
-10906,8369,-4544
-6052,9892,-4203
-3836,9986,-2110
-6356,7581,523
-9418,5759,1933
-11549,4499,2049
-11080,2489,1553
-7680,-1055,3808
-1973,-5423,7136
4070,-8174,7858
9282,-9756,6791
14374,-11127,6046
18385,-12521,6172
21828,-14459,6060
25988,-16478,5673
30585,-18171,5462
32767,-19989,5448
32767,-21515,4994
32718,-21747,3028
32767,-20352,627
32767,-19850,-699
32766,-20112,-2908
32767,-19479,-4797
32767,-19346,-3850
32300,-18593,-1153
29863,-18003,1396
27254,-16840,3642
23998,-15385,4961
18955,-14312,4891
13405,-12789,3575
9669,-10504,2097
7126,-7953,1900
4162,-5031,2280
1273,-2907,2917
-1080,-1171,3552
-2741,1079,3546
-3864,3423,2948
-5960,5304,1393
-10378,6413,-324
-10732,8157,-1391
-7941,9396,-1967
-4803,10266,-1146
-4885,9254,301
-6706,7677,1038
-8330,6590,1103
-9673,4859,1010
-9389,2091,893
-6657,-586,1244
-1330,-3679,1671
5591,-6314,3432
10915,-8316,5105
14516,-10599,5806
17625,-12446,5307
21926,-14109,4776
26466,-15592,4397
31934,-17409,5895
32767,-19548,7900
32718,-21453,9289
32738,-22092,8525
32767,-21062,5431
32767,-19719,871
32766,-18200,-3844
32767,-17597,-6436
32536,-17723,-6057
29456,-17050,-3793
25913,-16397,-686
23238,-15421,2911
19321,-14625,5530
14808,-14109,6179
11674,-12475,4881
9805,-9724,2489
7624,-6533,425
4614,-3764,-1108
1267,-1359,-1688
