x,y,z
559,-687,23237
618,-530,22946
481,-619,22557
207,-1055,22497
-90,-1483,22491
-287,-1714,22316
-408,-1908,22428
-332,-1699,22482
-67,-911,22272
188,-154,21983
280,506,21725
129,520,21476
-170,268,20796
-489,137,19898
-812,-224,19205
-1126,-445,18333
-1471,-595,17493
-1695,-624,16582
-1918,-431,16201
-2092,-290,16734
-2066,-235,16936
-2138,-274,16666
-2199,-336,16150
-2173,-373,15537
-2185,-257,14956
-2256,-132,14442
-2501,-306,14313
-2818,-698,14106
-3095,-972,13850
-3402,-884,13926
-3148,-291,14294
-2886,506,14450
-2749,1212,13927
-2721,1676,12946
-2823,1866,12242
-3105,1893,12115
-3260,1872,12063
-3195,1822,11766
-3283,1858,11183
-3290,1916,10758
-3347,2313,10334
-3428,2689,9951
-3626,2867,9377
-3719,3038,8693
-3853,3233,8446
-3748,3452,8580
-3626,3610,8846
-3484,3719,8885
-3297,3653,8645
-3313,3343,8383
-3378,2908,8521
-3459,2683,9456
-3241,2579,10150
-2965,2706,10326
-2657,3178,10250
-2370,3218,10526
-2462,3040,11324
-2379,2793,11941
-2387,2503,11844
-2555,2453,11521
-2840,2438,11524
-3045,2473,11771
-3176,2690,11825
-3246,2981,11838
-3163,3186,12182
-2938,3451,12686
-2588,3574,13255
-2223,3748,13917
-2041,4062,14743
-2107,4328,15713
-2311,4226,15907
-2309,3902,15478
-2398,3358,15041
-2537,2461,14722
-2626,1402,14449
-2924,534,14198
-3509,419,14419
-3745,486,14960
-3620,661,15515
-3302,1011,16181
-2895,1219,16869
-2349,1361,17289
-2056,1237,16945
-2102,909,16773
-2353,601,16593
-2856,374,16252
-3264,0,15738
-3627,-641,15061
-3846,-1253,14870
-3621,-1394,15081
-2922,-993,15335
-2221,-294,15522
-1664,319,15952
-1329,659,16348
-1513,826,16318
-2013,523,15866
-2500,18,15059
-2877,-889,14383
-3073,-1779,14131
-3000,-2124,14105
-2828,-2206,14113
-2535,-1853,14172
-1976,-976,14336
-1602,-16,14760
-1488,772,15651
-1196,1075,16376
-1012,792,16714
-1003,-32,17051
-1113,-1019,17035
-1148,-1894,16741
-1739,-2695,16918
-1878,-3415,17276
-1639,-3112,17281
-1271,-2356,17740
-542,-1802,18776
243,-1193,20059
755,-411,21253
1516,251,22592
960,-569,22534
517,-938,22325
159,-1396,21658
-55,-1333,21119
326,-795,21345
804,-260,22034
1246,-37,23077
1518,2,24026
1647,-277,24131
1512,-593,23494
1240,-813,22668
1056,-1043,21901
1013,-1254,21237
948,-1345,20755
996,-1263,20391
1066,-1207,20311
1022,-1160,20250
1187,-1028,20176
1120,-1010,19665
957,-1085,18941
936,-1096,18183
947,-1276,17807
825,-1583,18018
770,-2137,19011
633,-1853,19263
1095,-1397,19557
1464,-614,19577
1501,-414,19248
1251,-583,18627
1204,-768,17783
960,-994,17483
745,-1408,18019
623,-1658,18969
775,-1371,19637
977,-1114,20118
956,-1133,20751
915,-1089,21001
916,-1050,20654
723,-1200,20327
489,-1400,20228
335,-1347,20260
264,-827,20763
536,-264,21880
876,151,23451
1424,413,24955
1839,677,25826
2211,1036,26264
2357,1121,26229
2131,766,25514
1634,-24,24291
989,-886,23159
617,-1232,22343
860,-868,21723
1349,128,21299
1449,527,21254
