x,y,z
-3512,-589,17512
-3466,-823,18371
-3211,-1045,18657
-3120,-1169,18421
-3195,-1088,17839
-2949,-876,17337
-2917,-751,17240
-2807,-655,17273
-2612,-578,17115
-2540,-295,16660
-2337,-177,16387
-2224,-327,16625
-2122,-816,17340
-2004,-995,17772
-1778,-923,17856
-1466,-692,17938
-1199,-200,17917
-949,162,17892
-651,278,17869
-472,404,17405
-613,424,16245
-670,400,15334
-702,-78,15117
-993,-1006,15373
-1036,-1218,15727
-520,-1208,15984
-282,-797,16063
398,-19,16105
975,853,16194
1271,1163,16255
1464,1000,16002
1909,1139,15903
2058,883,15892
1999,318,15511
1909,-158,15340
1808,-1037,15443
1875,-1719,15914
2211,-1823,16287
2672,-1413,16555
3231,-710,17015
3851,218,17453
4486,925,17616
4866,953,17695
5185,757,17721
5183,301,17771
4977,-254,17965
4822,-541,17895
4621,-553,17873
4686,-473,18053
4691,-49,17988
4801,281,17969
4781,421,17986
4774,646,17564
4612,526,16988
4478,-16,16537
4243,-281,16224
4314,-367,16307
4552,-279,16770
4825,-89,17457
4845,-125,17808
4779,-221,17900
4511,-286,17584
4243,-310,17099
4068,-401,16759
4023,-579,16618
4213,-279,16567
4581,10,16665
4808,184,16635
4868,619,16345
4899,825,16279
4824,468,16593
4509,-137,16904
4242,-433,16996
4155,-504,16897
4078,-445,16782
4195,-436,16526
4009,-431,16352
3654,-335,16284
3457,-233,16166
3250,-512,16199
2897,-988,16375
2626,-1125,16366
2630,-1020,16371
2948,-530,16463
3493,292,16345
3613,1139,16464
3401,1367,16868
3074,970,17342
2737,196,17263
2304,-511,16877
2075,-913,16496
2172,-846,16308
2381,-618,16538
2369,-180,16888
2405,252,16987
2463,706,16513
2342,1294,16051
2559,1471,16241
2628,998,16643
2285,670,17150
2156,770,17225
1828,1274,16686
1553,1784,15833
1140,1839,15206
781,1455,15096
837,1341,15770
1076,1774,16623
1420,2218,17438
1584,2094,17795
1615,1963,17704
1292,1910,17626
1051,1812,17432
1113,1665,17403
823,1192,17340
203,924,16992
-402,741,16835
-899,196,16906
-1545,-687,16956
-2259,-954,16542
-2480,-678,16093
-2669,-451,16172
-2815,-5,16372
-2953,364,16128
-3115,645,15643
-3487,435,15701
-3905,-325,16112
-4467,-1364,16282
-4934,-2061,15982
-5040,-2426,15860
-4990,-2467,16315
-4549,-2033,16982
-4150,-1522,17512
-3572,-1353,17866
-3377,-1229,18886
-3036,-1298,19868
-2859,-1211,20283
-2708,-1199,20196
-2717,-1478,20003
-2774,-1721,20265
-2630,-1722,20525
-2492,-1566,20446
-2321,-923,20377
-2063,-354,20203
-1934,-82,19700
-1897,237,18696
-1842,684,17831
-1664,975,17264
-1747,366,17044
-2339,-487,17217
-2580,-974,17280
-2665,-1170,17130
-2432,-789,16921
-1988,-107,16947
-1672,387,17086
-1643,428,17280
-1616,383,17171
-1401,128,16859
-1511,-432,16527
-1431,-427,16574
-991,-449,16824
-905,-488,16663
-858,-689,16530
